Timestamp,Please rate each of the following: [I want to get married.],Please rate each of the following: [Marriage comes with unique benefits.],Please rate each of the following: [Everyone should get married.],Please rate each of the following: [Marriage is more than a legal document.],Please rate each of the following: [I believe marriage is an outdated idea.],Please rate each of the following: [People can be happy and not get married.],Please rate each of the following: [I think relationships should have the goal of getting married.],Please rate each of the following: [Marriage comes with unique challenges. ],Please rate each of the following: [I feel marriage is the highest level in a relationship.],Please rate each of the following: [I do not want to get married.],Please rate each of the following: [I think marriage is important.],Please rate each of the following: [Money is a really good indicator of a person’s life achievements and success.],Please rate each of the following: [One of the best measures of success in life is how much money you have earned. ],Please rate each of the following: [Being rich is a sign of a great achievement.],Please rate each of the following: [I feel anxious and defensive when talking about my personal finances.],Please rate each of the following: [I am pretty good at budgeting. ],Please rate each of the following: [I am hesitant when it comes to making changes.],Please rate each of the following: [Facing uncertainty is a nerve wracking experience.],Please rate each of the following: [I think variety is the spice of life.],Please rate each of the following: [I try to have my life and career clearly mapped out.],Please rate each of the following: [Taking chances is part of life.],How old are you? ,What is your gender?,What is your sexual orientation? ,Are you married?,"Are you religious? If so, what is your affiliation? ",How religious are you?,"If you have any questions or comments, leave it down below. "
2/19/2026 9:04:51,Strongly Agree (7),Strongly Agree (7),2,Strongly Agree (7),Strongly Disagree (1),5,6,Strongly Agree (7),Strongly Agree (7),Strongly Disagree (1),Strongly Agree (7),2,2,2,6,Strongly Disagree (1),4,6,6,6,6,59,Female,Heterosexual / Straight,Yes,Christian,6,
2/19/2026 9:05:31,5,6,2,6,4,6,3,6,3,4,5,3,3,5,4,5,6,Strongly Agree (7),2,5,4,21,Male,Heterosexual / Straight,No,Christianity,2,
2/19/2026 10:01:42,3,3,3,3,Strongly Disagree (1),3,3,3,2,Strongly Disagree (1),3,Strongly Disagree (1),Strongly Disagree (1),Strongly Disagree (1),Strongly Disagree (1),3,Strongly Disagree (1),Strongly Disagree (1),2,Strongly Disagree (1),2,51,Female,Heterosexual / Straight,Yes,Protestant ,7,
2/19/2026 10:04:15,5,4,Strongly Disagree (1),5,5,Strongly Agree (7),5,Strongly Agree (7),5,2,4,2,2,2,4,5,4,5,6,2,6,20,Female,Heterosexual / Straight,No,No,3,
2/19/2026 10:04:51,Strongly Agree (7),4,Strongly Disagree (1),Strongly Agree (7),3,Strongly Agree (7),Strongly Disagree (1),Strongly Agree (7),5,Strongly Disagree (1),5,2,2,4,2,Strongly Disagree (1),6,6,6,4,6,21,Female,Heterosexual / Straight,No,Episcopalian ,4,
2/19/2026 10:08:42,3,Strongly Agree (7),6,Strongly Agree (7),Strongly Disagree (1),6,6,Strongly Agree (7),Strongly Agree (7),4,Strongly Agree (7),2,Strongly Disagree (1),Strongly Disagree (1),4,Strongly Agree (7),2,5,Strongly Agree (7),2,Strongly Agree (7),61,Female,Heterosexual / Straight,Divorced or Separated,Catholic ,7,
2/19/2026 10:09:45,Strongly Agree (7),Strongly Agree (7),2,Strongly Agree (7),Strongly Disagree (1),Strongly Agree (7),4,Strongly Agree (7),5,Strongly Disagree (1),Strongly Agree (7),2,Strongly Disagree (1),4,5,4,6,Strongly Agree (7),5,5,Strongly Agree (7),21,Male,Heterosexual / Straight,No,agnostic,1,
2/19/2026 10:12:34,Strongly Agree (7),6,Strongly Disagree (1),6,5,6,6,6,6,Strongly Disagree (1),5,5,5,5,3,6,5,6,5,5,Strongly Agree (7),20,Female,Heterosexual / Straight,No,christian ,3,
2/19/2026 10:24:14,4,Strongly Agree (7),Strongly Disagree (1),5,5,Strongly Agree (7),Strongly Disagree (1),Strongly Agree (7),Strongly Disagree (1),4,5,5,3,Strongly Disagree (1),4,3,Strongly Disagree (1),3,5,4,Strongly Agree (7),44,Female,Heterosexual / Straight,Yes,No,2,
2/19/2026 10:25:14,6,Strongly Agree (7),Strongly Disagree (1),Strongly Agree (7),2,Strongly Agree (7),Strongly Disagree (1),Strongly Agree (7),3,2,4,Strongly Disagree (1),Strongly Disagree (1),2,5,6,Strongly Agree (7),Strongly Agree (7),3,Strongly Agree (7),Strongly Agree (7),18,Non-binary / Third Gender,Bisexual,No,presbyterian ,4,
2/19/2026 10:28:09,6,6,Strongly Disagree (1),5,4,Strongly Agree (7),5,Strongly Agree (7),Strongly Agree (7),3,3,2,2,4,2,6,Strongly Agree (7),Strongly Agree (7),6,4,Strongly Agree (7),19,Male,Heterosexual / Straight,No,"Yes, Catholic",4,
2/19/2026 10:29:20,5,5,Strongly Disagree (1),4,4,Strongly Agree (7),2,6,6,Strongly Disagree (1),4,2,2,3,4,5,3,6,6,5,Strongly Agree (7),21,Male,Heterosexual / Straight,No,None,1,
2/19/2026 10:34:40,Strongly Agree (7),Strongly Agree (7),Strongly Disagree (1),3,Strongly Disagree (1),Strongly Agree (7),Strongly Agree (7),Strongly Agree (7),Strongly Agree (7),Strongly Agree (7),Strongly Agree (7),Strongly Disagree (1),Strongly Disagree (1),Strongly Disagree (1),Strongly Disagree (1),Strongly Agree (7),6,6,Strongly Disagree (1),5,6,66,Female,Heterosexual / Straight,Divorced or Separated,Yes Catholic,7,
2/19/2026 10:34:55,Strongly Agree (7),Strongly Agree (7),5,Strongly Agree (7),Strongly Disagree (1),Strongly Agree (7),6,5,Strongly Agree (7),Strongly Disagree (1),Strongly Agree (7),3,Strongly Disagree (1),Strongly Disagree (1),4,3,3,5,4,Strongly Disagree (1),Strongly Agree (7),42,Male,Heterosexual / Straight,Yes,Yes,5,
2/19/2026 10:36:58,Strongly Agree (7),Strongly Agree (7),2,5,Strongly Disagree (1),6,3,Strongly Agree (7),3,Strongly Disagree (1),Strongly Agree (7),2,2,2,2,6,6,6,6,6,6,20,Female,Heterosexual / Straight,No,catholic,5,
2/19/2026 10:37:08,Strongly Agree (7),Strongly Agree (7),3,Strongly Agree (7),Strongly Disagree (1),Strongly Agree (7),Strongly Agree (7),Strongly Agree (7),6,Strongly Disagree (1),Strongly Agree (7),Strongly Disagree (1),Strongly Disagree (1),2,2,6,5,4,4,4,Strongly Agree (7),23,Female,Heterosexual / Straight,Yes,Christianity,7,
2/19/2026 10:37:57,Strongly Agree (7),6,2,6,5,Strongly Agree (7),2,6,3,2,6,Strongly Disagree (1),Strongly Disagree (1),5,2,6,5,2,6,6,Strongly Agree (7),18,Male,Heterosexual / Straight,No,No,1,
2/19/2026 10:38:09,Strongly Agree (7),Strongly Disagree (1),Strongly Disagree (1),Strongly Agree (7),2,Strongly Agree (7),2,5,3,Strongly Disagree (1),2,3,5,3,Strongly Disagree (1),Strongly Disagree (1),2,4,6,4,Strongly Agree (7),21,Male,Heterosexual / Straight,No,"I am not committed to one religion (because how can there be one right answer), but I would consider myself interested in religion",3,
2/19/2026 10:39:05,Strongly Agree (7),4,4,6,2,4,3,4,4,Strongly Disagree (1),6,4,3,4,2,6,3,5,6,5,6,20,Female,Heterosexual / Straight,No,Christian ,5,N/A
2/19/2026 10:48:57,Strongly Disagree (1),4,Strongly Disagree (1),6,2,3,3,6,6,6,2,4,4,5,6,4,6,6,6,6,5,56,Male,Heterosexual / Straight,No,Catholic,6,
2/19/2026 10:49:19,Strongly Agree (7),5,3,6,Strongly Disagree (1),Strongly Agree (7),5,6,3,Strongly Disagree (1),6,5,5,5,3,5,5,2,Strongly Disagree (1),2,6,20,Male,Heterosexual / Straight,No,Catholic,1,
2/19/2026 10:51:02,5,5,2,4,3,Strongly Agree (7),2,6,3,2,2,2,2,2,3,4,2,4,4,2,4,20,Male,Gay,No,N/A,4,
2/19/2026 10:57:22,5,6,3,Strongly Agree (7),4,6,5,6,6,2,5,4,4,5,4,4,5,6,5,4,6,21,Female,Bisexual,No,Spiritual/Hindu,4,
2/19/2026 11:09:06,3,3,2,3,Strongly Disagree (1),2,2,2,3,Strongly Disagree (1),3,2,2,2,Strongly Disagree (1),3,2,2,2,3,3,22,Female,Heterosexual / Straight,No,N/A,1,
2/19/2026 11:09:49,3,3,Strongly Disagree (1),4,2,4,Strongly Disagree (1),4,2,2,3,2,Strongly Disagree (1),2,Strongly Disagree (1),2,2,Strongly Disagree (1),3,3,4,22,Female,Heterosexual / Straight,No,Christian ,4,
2/19/2026 11:12:41,Strongly Agree (7),Strongly Agree (7),3,Strongly Agree (7),Strongly Disagree (1),6,2,6,Strongly Agree (7),Strongly Disagree (1),Strongly Agree (7),5,5,2,2,3,3,6,5,Strongly Agree (7),5,21,Female,Heterosexual / Straight,No,Christian ,5,
2/19/2026 11:19:31,Strongly Agree (7),Strongly Agree (7),4,Strongly Agree (7),Strongly Disagree (1),4,Strongly Agree (7),Strongly Agree (7),Strongly Agree (7),Strongly Disagree (1),Strongly Agree (7),4,Strongly Disagree (1),Strongly Disagree (1),Strongly Disagree (1),6,4,5,Strongly Agree (7),5,Strongly Agree (7),38,Male,Heterosexual / Straight,Yes,Christian/ Nondenominational ,7,Would love to lend more support in your endeavors with Psychology. I have my MS in Mental Health and Wellness with Emphasis in Family Dynamics 
2/19/2026 11:26:55,2,2,3,4,3,4,Strongly Disagree (1),4,4,2,4,3,2,2,3,3,3,4,4,4,3,43,Male,Heterosexual / Straight,Divorced or Separated,Catholic ,3,
2/19/2026 11:27:50,Strongly Agree (7),6,Strongly Disagree (1),Strongly Agree (7),2,Strongly Agree (7),5,Strongly Agree (7),6,Strongly Disagree (1),5,2,2,3,Strongly Disagree (1),4,4,Strongly Agree (7),6,4,Strongly Agree (7),21,Female,Bisexual,No,Agnostic ,1,These questions were intriguing and opened new perspectives!
2/19/2026 11:30:17,3,4,2,4,Strongly Disagree (1),4,2,4,2,Strongly Disagree (1),3,Strongly Disagree (1),Strongly Disagree (1),Strongly Disagree (1),Strongly Disagree (1),3,3,3,2,3,2,40,Female,Heterosexual / Straight,Yes,Christian,4,
2/19/2026 11:32:49,4,3,Strongly Disagree (1),4,5,Strongly Agree (7),Strongly Disagree (1),5,Strongly Disagree (1),5,2,5,5,4,6,3,6,5,6,5,Strongly Agree (7),31,Female,Lesbian,No,N/A,3,
2/19/2026 11:33:25,Strongly Agree (7),Strongly Agree (7),3,6,2,Strongly Agree (7),3,Strongly Agree (7),5,Strongly Disagree (1),4,4,3,5,2,5,5,6,6,6,Strongly Agree (7),21,Female,Bisexual,No,no,1,
2/19/2026 11:38:57,Strongly Agree (7),5,4,6,4,Strongly Agree (7),Strongly Disagree (1),Strongly Agree (7),3,Strongly Disagree (1),6,2,Strongly Disagree (1),Strongly Disagree (1),Strongly Agree (7),3,3,Strongly Agree (7),4,4,Strongly Agree (7),19,Female,Heterosexual / Straight,No,catholic ,3,n/a
2/19/2026 11:42:08,Strongly Disagree (1),2,Strongly Disagree (1),4,4,4,Strongly Disagree (1),4,2,4,Strongly Disagree (1),3,2,2,3,3,Strongly Disagree (1),3,3,3,4,40,Male,Heterosexual / Straight,Divorced or Separated,Christian ,4,
2/19/2026 11:42:17,5,5,3,Strongly Agree (7),6,6,6,Strongly Agree (7),Strongly Agree (7),2,3,5,2,3,3,3,5,5,4,5,5,20,Female,Heterosexual / Straight,No,yes- christian,3,
2/19/2026 11:48:37,4,3,Strongly Disagree (1),2,3,4,2,4,2,3,3,2,3,2,2,2,3,2,Strongly Disagree (1),2,3,33,Female,Heterosexual / Straight,Yes,Catholic ,3,
2/19/2026 11:50:11,5,Strongly Agree (7),Strongly Disagree (1),3,6,Strongly Agree (7),3,6,Strongly Disagree (1),5,4,5,4,Strongly Disagree (1),6,5,Strongly Agree (7),Strongly Agree (7),4,Strongly Agree (7),Strongly Agree (7),31,Female,Heterosexual / Straight,Yes,Nondenominational ,3,
2/19/2026 11:54:03,3,3,Strongly Disagree (1),3,2,3,2,3,2,3,2,2,2,Strongly Disagree (1),3,Strongly Disagree (1),3,3,2,Strongly Disagree (1),2,46,Female,Heterosexual / Straight,No,Christian,5,
2/19/2026 11:55:26,3,6,Strongly Disagree (1),Strongly Agree (7),5,6,6,Strongly Agree (7),Strongly Agree (7),Strongly Disagree (1),6,6,5,3,6,5,6,Strongly Agree (7),Strongly Agree (7),6,6,37,Female,Heterosexual / Straight,Yes,Agnostic,1,
2/19/2026 12:04:43,6,5,2,Strongly Agree (7),4,6,6,Strongly Agree (7),6,2,5,2,2,3,3,5,6,Strongly Agree (7),4,2,5,20,Female,Heterosexual / Straight,No,Catholic,6,
2/19/2026 12:08:03,5,Strongly Agree (7),Strongly Disagree (1),Strongly Agree (7),Strongly Disagree (1),Strongly Agree (7),Strongly Disagree (1),Strongly Agree (7),6,6,6,Strongly Disagree (1),Strongly Disagree (1),Strongly Disagree (1),6,5,Strongly Disagree (1),5,Strongly Agree (7),Strongly Disagree (1),Strongly Agree (7),47,Female,Heterosexual / Straight,Yes,Catholic,5,
2/19/2026 12:10:15,2,6,Strongly Disagree (1),6,4,Strongly Agree (7),2,Strongly Agree (7),Strongly Disagree (1),6,2,6,3,2,2,6,Strongly Agree (7),6,6,5,Strongly Agree (7),33,Female,Lesbian,Yes,No,3,Marry your best friend
2/19/2026 12:17:50,6,6,2,6,3,6,6,Strongly Agree (7),Strongly Agree (7),Strongly Disagree (1),5,6,6,5,5,5,4,6,5,4,Strongly Agree (7),21,Female,Heterosexual / Straight,No,"Yes, Christian, Non-denominational",7,
2/19/2026 12:23:15,4,4,3,4,Strongly Disagree (1),3,3,4,2,Strongly Disagree (1),4,2,2,2,3,3,2,3,4,3,4,50,Female,Heterosexual / Straight,Yes,Catholic ,5,
2/19/2026 12:23:58,3,3,2,3,Strongly Disagree (1),3,2,3,3,Strongly Disagree (1),2,3,2,2,3,Strongly Disagree (1),3,3,2,2,3,33,Female,Heterosexual / Straight,No,Islam,4,
2/19/2026 12:32:45,3,3,2,4,Strongly Disagree (1),2,4,4,3,3,3,3,2,Strongly Disagree (1),Strongly Disagree (1),4,3,2,3,2,4,41,Female,Prefer Not to Answer,Divorced or Separated,Catholic,5,
2/19/2026 12:35:26,2,3,Strongly Disagree (1),3,2,3,2,3,2,2,2,Strongly Disagree (1),2,2,3,2,3,3,3,2,2,27,Female,Heterosexual / Straight,Engaged ,Catholic,4,
2/19/2026 12:56:03,4,3,2,4,Strongly Disagree (1),2,3,4,4,Strongly Disagree (1),4,3,3,3,Strongly Disagree (1),3,3,3,2,3,4,16,Male,Heterosexual / Straight,No,Catholic ,3,
