Timestamp,Please rate each of the following: [I want to get married.],Please rate each of the following: [Marriage comes with unique benefits.],Please rate each of the following: [Everyone should get married.],Please rate each of the following: [Marriage is more than a legal document.],Please rate each of the following: [I believe marriage is an outdated idea.],Please rate each of the following: [People can be happy and not get married.],Please rate each of the following: [I think relationships should have the goal of getting married.],Please rate each of the following: [Marriage comes with unique challenges. ],Please rate each of the following: [I feel marriage is the highest level in a relationship.],Please rate each of the following: [I do not want to get married.],Please rate each of the following: [I think marriage is important.],Please rate each of the following: [Money is a really good indicator of a person‚Äôs life achievements and success.],Please rate each of the following: [One of the best measures of success in life is how much money you have earned. ],Please rate each of the following: [Being rich is a sign of a great achievement.],Please rate each of the following: [I feel anxious and defensive when talking about my personal finances.],Please rate each of the following: [I am pretty good at budgeting. ],Please rate each of the following: [I am hesitant when it comes to making changes.],Please rate each of the following: [Facing uncertainty is a nerve wracking experience.],Please rate each of the following: [I think variety is the spice of life.],Please rate each of the following: [I try to have my life and career clearly mapped out.],Please rate each of the following: [Taking chances is part of life.],How old are you? ,What is your gender?,What is your sexual orientation? ,Are you married?,"Are you religious? If so, what is your affiliation? ",How religious are you?,"If you have any questions or comments, leave it down below. "
2/19/2026 12:56:08,Strongly Agree (7),Strongly Agree (7),4,Strongly Agree (7),Strongly Disagree (1),Strongly Agree (7),5,Strongly Agree (7),Strongly Agree (7),Strongly Disagree (1),Strongly Agree (7),Strongly Disagree (1),Strongly Disagree (1),Strongly Disagree (1),Strongly Disagree (1),4,Strongly Disagree (1),2,Strongly Agree (7),Strongly Agree (7),Strongly Agree (7),15,Male,Heterosexual / Straight,No,No,3,
2/19/2026 12:57:41,Strongly Agree (7),4,2,Strongly Agree (7),4,Strongly Agree (7),4,Strongly Agree (7),Strongly Agree (7),Strongly Disagree (1),Strongly Agree (7),5,Strongly Disagree (1),Strongly Disagree (1),4,6,3,2,3,Strongly Agree (7),Strongly Agree (7),17,Female,Bisexual,No,Catholic ,7,
2/19/2026 12:58:23,Strongly Agree (7),Strongly Agree (7),4,Strongly Agree (7),Strongly Disagree (1),Strongly Agree (7),5,Strongly Agree (7),5,Strongly Disagree (1),Strongly Agree (7),Strongly Agree (7),Strongly Agree (7),Strongly Agree (7),3,4,4,Strongly Agree (7),Strongly Agree (7),Strongly Agree (7),Strongly Agree (7),17,Male,Heterosexual / Straight,No,Christanity,5,
2/19/2026 12:58:31,5,4,Strongly Disagree (1),4,2,Strongly Agree (7),5,Strongly Agree (7),Strongly Agree (7),2,4,Strongly Disagree (1),Strongly Disagree (1),Strongly Disagree (1),3,2,2,6,6,5,Strongly Agree (7),17,Female,Heterosexual / Straight,No,unsure,3,
2/19/2026 12:58:39,4,6,2,4,Strongly Disagree (1),4,2,6,Strongly Agree (7),2,4,2,2,4,5,Strongly Agree (7),5,6,5,Strongly Agree (7),Strongly Agree (7),17,Male,Heterosexual / Straight,No,Catholic,3,
2/19/2026 12:59:16,Strongly Agree (7),5,2,6,3,Strongly Agree (7),6,6,Strongly Agree (7),Strongly Disagree (1),4,4,4,4,3,5,4,5,5,6,5,16,Male,Heterosexual / Straight,No,Catholic,2,
2/19/2026 13:00:02,Strongly Agree (7),Strongly Agree (7),4,Strongly Agree (7),4,Strongly Agree (7),Strongly Agree (7),Strongly Agree (7),4,Strongly Disagree (1),4,3,3,4,4,6,3,3,Strongly Agree (7),5,Strongly Agree (7),16,Male,Heterosexual / Straight,No,"Christian, just live life and try to be a good person ",4,
2/19/2026 13:08:33,3,3,2,4,2,4,3,4,4,Strongly Disagree (1),3,3,3,3,3,Strongly Disagree (1),2,4,4,4,4,21,Male,Heterosexual / Straight,No,No,1,
2/19/2026 13:09:39,Strongly Agree (7),4,4,5,2,6,6,6,6,Strongly Disagree (1),5,2,2,3,3,4,4,4,3,6,6,22,Male,Heterosexual / Straight,No,Catholic ,5,
2/19/2026 13:10:00,Strongly Agree (7),6,Strongly Disagree (1),Strongly Agree (7),5,Strongly Agree (7),Strongly Disagree (1),Strongly Agree (7),Strongly Disagree (1),Strongly Disagree (1),6,5,Strongly Disagree (1),2,4,4,6,4,5,5,5,20,Female,Queer,No,No 👍,1,
2/19/2026 13:17:25,3,3,2,3,Strongly Disagree (1),3,2,2,3,Strongly Disagree (1),3,2,Strongly Disagree (1),Strongly Disagree (1),Strongly Disagree (1),2,Strongly Disagree (1),Strongly Disagree (1),3,2,3,36,Male,Heterosexual / Straight,Yes,Agnostic ,2,
2/19/2026 13:18:14,2,3,Strongly Disagree (1),4,2,4,Strongly Disagree (1),4,3,3,4,3,3,3,Strongly Disagree (1),Strongly Disagree (1),Strongly Disagree (1),Strongly Disagree (1),4,Strongly Disagree (1),4,21,Female,Lesbian,No,Buddhist?,3,
2/19/2026 13:47:02,Strongly Agree (7),Strongly Agree (7),4,6,2,Strongly Agree (7),Strongly Agree (7),Strongly Agree (7),Strongly Agree (7),Strongly Disagree (1),Strongly Agree (7),4,4,3,5,4,Strongly Disagree (1),5,Strongly Agree (7),4,Strongly Agree (7),19,Female,Heterosexual / Straight,No,N/A,5,
2/19/2026 14:04:06,5,5,3,Strongly Agree (7),Strongly Disagree (1),Strongly Agree (7),4,5,3,3,4,3,Strongly Disagree (1),5,4,3,4,5,3,2,4,16,Male,Heterosexual / Straight,No,buddhist,4,
2/19/2026 14:06:24,4,3,3,4,Strongly Disagree (1),2,4,4,2,Strongly Disagree (1),3,3,2,4,3,3,2,3,2,3,4,17,Male,Heterosexual / Straight,No,catholic,6,
2/19/2026 14:09:59,5,6,Strongly Disagree (1),6,3,Strongly Agree (7),2,5,3,2,5,3,3,4,3,5,5,5,5,5,6,21,Male,Heterosexual / Straight,No,No,2,
2/19/2026 14:12:27,5,5,3,6,2,6,5,6,6,3,4,Strongly Disagree (1),Strongly Disagree (1),3,2,Strongly Disagree (1),6,4,3,5,6,32,Male,Heterosexual / Straight,Engaged,No,1,
2/19/2026 14:31:50,4,5,Strongly Disagree (1),4,4,Strongly Agree (7),Strongly Disagree (1),5,3,4,4,2,3,3,5,3,4,5,5,5,Strongly Agree (7),20,Male,Heterosexual / Straight,No,No,1,
2/19/2026 14:34:16,Strongly Agree (7),6,Strongly Disagree (1),Strongly Agree (7),Strongly Disagree (1),Strongly Agree (7),4,6,5,Strongly Disagree (1),5,3,3,5,Strongly Disagree (1),6,3,Strongly Agree (7),Strongly Agree (7),6,Strongly Agree (7),20,Male,Heterosexual / Straight,No,No,1,
2/19/2026 14:43:44,Strongly Agree (7),6,3,6,2,Strongly Agree (7),4,Strongly Agree (7),5,Strongly Disagree (1),6,4,4,4,2,3,3,4,6,4,6,20,Female,Heterosexual / Straight,No,Christian,2,
2/19/2026 15:06:59,Strongly Agree (7),Strongly Agree (7),6,Strongly Agree (7),Strongly Disagree (1),5,6,Strongly Agree (7),2,Strongly Disagree (1),Strongly Agree (7),2,Strongly Disagree (1),Strongly Disagree (1),5,2,3,6,Strongly Agree (7),5,Strongly Agree (7),22,Male,Heterosexual / Straight,No,None,2,
2/19/2026 15:08:37,5,5,3,5,3,Strongly Agree (7),3,5,2,2,4,3,2,5,3,6,5,Strongly Agree (7),6,Strongly Agree (7),6,19,Female,Prefer Not to Answer,No,No,2,
2/19/2026 15:21:06,Strongly Agree (7),6,3,6,4,6,4,5,5,2,4,3,3,3,4,5,4,4,5,4,5,21,Female,Heterosexual / Straight,No,no,2,
2/19/2026 16:29:09,4,6,Strongly Disagree (1),Strongly Agree (7),3,Strongly Agree (7),4,Strongly Agree (7),4,5,5,6,6,Strongly Agree (7),Strongly Disagree (1),Strongly Disagree (1),Strongly Disagree (1),2,Strongly Agree (7),Strongly Disagree (1),Strongly Agree (7),21,Female,Lesbian,No,buddhist,3,
2/19/2026 16:29:17,2,3,Strongly Disagree (1),2,2,3,Strongly Disagree (1),3,2,2,2,3,2,2,Strongly Disagree (1),3,3,3,3,3,3,22,Male,Heterosexual / Straight,No,Hindu,2,
2/19/2026 16:30:42,3,5,Strongly Disagree (1),Strongly Agree (7),Strongly Disagree (1),Strongly Agree (7),6,Strongly Agree (7),Strongly Agree (7),6,6,Strongly Agree (7),6,6,4,3,6,Strongly Agree (7),5,6,Strongly Agree (7),21,Female,Heterosexual / Straight,No,buddhism,4,
2/19/2026 16:31:49,5,Strongly Agree (7),Strongly Disagree (1),Strongly Agree (7),2,Strongly Agree (7),5,Strongly Agree (7),Strongly Agree (7),3,5,Strongly Disagree (1),Strongly Disagree (1),Strongly Disagree (1),Strongly Disagree (1),5,4,2,Strongly Agree (7),5,Strongly Agree (7),21,Male,Heterosexual / Straight,No,"Yes, Hindu",5,
2/19/2026 16:41:45,Strongly Agree (7),Strongly Agree (7),Strongly Disagree (1),Strongly Agree (7),Strongly Disagree (1),5,Strongly Agree (7),Strongly Agree (7),Strongly Agree (7),Strongly Disagree (1),4,Strongly Agree (7),4,4,4,3,5,3,5,3,Strongly Agree (7),26,Male,Heterosexual / Straight,No,Yes,4,
2/19/2026 17:30:55,Strongly Agree (7),5,Strongly Disagree (1),Strongly Agree (7),2,Strongly Agree (7),Strongly Disagree (1),5,2,Strongly Disagree (1),Strongly Agree (7),Strongly Disagree (1),Strongly Disagree (1),Strongly Disagree (1),3,3,6,Strongly Agree (7),3,4,5,53,Female,Heterosexual / Straight,Yes,Catholic,6,
2/19/2026 17:42:10,4,3,Strongly Disagree (1),5,3,Strongly Agree (7),5,5,Strongly Agree (7),3,2,5,5,4,6,6,5,Strongly Agree (7),5,4,Strongly Agree (7),21,Male,Heterosexual / Straight,No,Nah but wassup,2,Wassup :)
2/19/2026 19:06:45,Strongly Agree (7),Strongly Agree (7),3,Strongly Agree (7),Strongly Disagree (1),Strongly Agree (7),4,Strongly Agree (7),Strongly Disagree (1),Strongly Disagree (1),4,3,Strongly Disagree (1),6,5,3,Strongly Agree (7),Strongly Agree (7),5,6,Strongly Agree (7),20,Male,Heterosexual / Straight,No,Undecided,3,Rugers Universary 
2/19/2026 19:15:34,4,3,Strongly Disagree (1),4,Strongly Disagree (1),4,3,4,4,Strongly Disagree (1),4,3,3,3,4,2,2,3,4,3,3,19,Male,Heterosexual / Straight,No,Christianity,6,
2/19/2026 19:18:46,Strongly Agree (7),Strongly Agree (7),5,Strongly Agree (7),Strongly Disagree (1),4,Strongly Agree (7),Strongly Agree (7),Strongly Agree (7),Strongly Disagree (1),Strongly Agree (7),5,5,6,6,6,4,Strongly Agree (7),5,5,Strongly Agree (7),22,Male,Heterosexual / Straight,No,"Yes, Muslim ",6,
2/19/2026 19:38:09,Strongly Agree (7),6,5,Strongly Agree (7),3,5,5,5,Strongly Agree (7),Strongly Disagree (1),5,3,3,4,3,4,4,4,5,4,6,17,Female,Heterosexual / Straight,No,Catholic,6,
2/19/2026 19:40:02,6,5,Strongly Disagree (1),5,3,6,4,6,6,2,5,2,2,Strongly Disagree (1),4,6,5,5,6,4,6,20,Female,Bisexual,No,Atheist  ,1,
2/19/2026 20:17:46,5,Strongly Agree (7),Strongly Disagree (1),3,Strongly Disagree (1),Strongly Agree (7),Strongly Disagree (1),Strongly Agree (7),Strongly Disagree (1),Strongly Disagree (1),Strongly Agree (7),Strongly Disagree (1),Strongly Disagree (1),Strongly Disagree (1),6,3,Strongly Agree (7),5,Strongly Agree (7),5,Strongly Agree (7),23,Female,Heterosexual / Straight,No,Raised Catholic,3,
2/19/2026 20:18:25,6,5,Strongly Disagree (1),Strongly Agree (7),5,Strongly Agree (7),2,Strongly Agree (7),3,2,5,2,Strongly Disagree (1),2,2,5,5,Strongly Agree (7),5,5,Strongly Agree (7),22,Female,Queer,No,No,2,
2/19/2026 20:30:33,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,18,Male,Heterosexual / Straight,Yes,God,7,good job
2/19/2026 21:57:50,6,4,2,5,2,6,3,4,3,2,5,Strongly Disagree (1),Strongly Disagree (1),Strongly Disagree (1),2,4,5,6,5,5,5,19,Female,Lesbian,No,Christianity,3,N/A
2/19/2026 22:08:38,6,6,5,Strongly Agree (7),Strongly Disagree (1),Strongly Agree (7),6,Strongly Agree (7),5,Strongly Disagree (1),6,5,5,5,4,6,5,6,5,5,5,44,Female,Heterosexual / Straight,Yes,Buddhist,5,
2/19/2026 23:07:12,6,3,3,4,2,5,5,4,4,Strongly Disagree (1),4,4,3,4,Strongly Disagree (1),3,3,3,5,4,4,21,Male,Heterosexual / Straight,No,No,2,
2/19/2026 23:14:28,4,4,Strongly Disagree (1),4,3,Strongly Agree (7),2,Strongly Agree (7),4,4,4,3,3,3,2,5,5,4,5,6,Strongly Agree (7),21,Female,Heterosexual / Straight,No,Agnostic ,1,
2/19/2026 23:31:58,6,6,4,6,2,Strongly Agree (7),6,Strongly Agree (7),6,2,6,4,4,4,3,3,4,4,3,6,6,21,Male,Heterosexual / Straight,No,"Not religious, Christian leaning",3,
2/19/2026 23:58:27,Strongly Agree (7),5,Strongly Agree (7),Strongly Agree (7),Strongly Disagree (1),3,5,5,5,Strongly Disagree (1),Strongly Agree (7),Strongly Disagree (1),Strongly Disagree (1),Strongly Disagree (1),3,6,Strongly Agree (7),Strongly Agree (7),5,Strongly Agree (7),4,21,Male,Heterosexual / Straight,No,Christian,3,
2/20/2026 22:25:49,6,5,Strongly Disagree (1),6,2,5,3,6,4,Strongly Disagree (1),3,Strongly Agree (7),Strongly Agree (7),Strongly Agree (7),2,Strongly Disagree (1),5,4,Strongly Agree (7),3,6,21,Female,Heterosexual / Straight,No,No,1,
2/20/2026 23:40:55,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,43,Female,Heterosexual / Straight,Complicated ,Catholic,5,
2/20/2026 23:44:37,Strongly Agree (7),Strongly Agree (7),Strongly Agree (7),Strongly Agree (7),4,Strongly Agree (7),4,Strongly Agree (7),4,Strongly Disagree (1),Strongly Agree (7),Strongly Disagree (1),Strongly Disagree (1),Strongly Disagree (1),4,Strongly Disagree (1),3,4,Strongly Disagree (1),4,Strongly Agree (7),45,Male,Heterosexual / Straight,Yes,Catholic ,5,
2/21/2026 13:28:06,6,5,3,5,2,6,6,Strongly Agree (7),6,2,5,5,4,3,3,4,3,6,6,5,6,45,Female,Heterosexual / Straight,Yes,Christian,5,
2/21/2026 13:47:47,Strongly Agree (7),6,4,Strongly Agree (7),Strongly Disagree (1),6,Strongly Agree (7),Strongly Agree (7),6,Strongly Disagree (1),6,2,Strongly Disagree (1),Strongly Disagree (1),4,6,4,6,5,5,6,37,Female,Heterosexual / Straight,Engaged,Catholic,6,
2/22/2026 17:44:13,3,4,Strongly Disagree (1),3,2,4,2,4,4,2,3,4,4,3,2,2,3,4,4,3,4,21,Female,Heterosexual / Straight,No,Christian,5,
2/22/2026 17:45:12,3,2,2,3,Strongly Disagree (1),2,3,2,2,Strongly Disagree (1),3,2,2,3,Strongly Disagree (1),2,2,2,2,2,2,18,Female,Heterosexual / Straight,No,Christian ,5,N/a 
2/22/2026 17:45:27,Strongly Agree (7),Strongly Agree (7),Strongly Agree (7),Strongly Agree (7),Strongly Disagree (1),3,Strongly Agree (7),6,Strongly Agree (7),Strongly Disagree (1),Strongly Agree (7),6,6,Strongly Agree (7),Strongly Disagree (1),5,4,5,5,4,5,21,Female,Heterosexual / Straight,No,Yes Christian ,4,N/A
2/22/2026 17:46:05,Strongly Disagree (1),2,Strongly Disagree (1),3,2,3,2,3,3,3,3,2,2,Strongly Disagree (1),Strongly Disagree (1),3,3,3,2,3,3,20,Female,Heterosexual / Straight,No,christian ,5,
2/22/2026 17:48:56,Strongly Agree (7),Strongly Agree (7),2,6,Strongly Disagree (1),Strongly Agree (7),6,Strongly Agree (7),6,Strongly Disagree (1),Strongly Agree (7),5,2,3,2,2,3,5,2,Strongly Agree (7),6,20,Female,Heterosexual / Straight,No,"No, identify as spiritual",2,
2/22/2026 17:50:56,4,Strongly Agree (7),6,Strongly Agree (7),Strongly Disagree (1),Strongly Agree (7),Strongly Agree (7),Strongly Agree (7),Strongly Agree (7),Strongly Disagree (1),Strongly Agree (7),6,5,5,4,2,5,Strongly Agree (7),5,5,Strongly Agree (7),21,Female,Heterosexual / Straight,No,Christian ,4,
2/22/2026 17:51:01,4,4,2,4,Strongly Disagree (1),3,4,4,4,Strongly Disagree (1),2,3,2,2,2,2,3,4,4,4,4,20,Female,Bisexual,No,No but i have a relationship w god ,3,
2/22/2026 17:56:04,2,2,Strongly Disagree (1),2,2,4,3,3,3,3,2,3,2,3,2,3,3,4,3,3,4,19,Female,Lesbian,No,n/a,1,
2/22/2026 18:56:06,5,6,Strongly Disagree (1),6,5,Strongly Agree (7),3,6,5,3,2,3,3,3,6,5,6,Strongly Agree (7),Strongly Agree (7),5,Strongly Agree (7),20,Female,Bisexual,No,Agnostic,1,
2/22/2026 19:21:05,4,4,Strongly Disagree (1),4,2,4,2,4,4,Strongly Disagree (1),4,2,Strongly Disagree (1),Strongly Disagree (1),2,3,2,4,3,4,3,23,Male,Heterosexual / Straight,No,Christian ,4,
2/22/2026 20:11:16,Strongly Agree (7),6,Strongly Disagree (1),Strongly Agree (7),2,Strongly Agree (7),Strongly Agree (7),Strongly Agree (7),5,Strongly Disagree (1),4,2,2,2,5,6,5,Strongly Agree (7),Strongly Agree (7),Strongly Agree (7),Strongly Agree (7),21,Female,Heterosexual / Straight,No,Christian,4,
2/23/2026 12:30:40,5,5,Strongly Disagree (1),6,4,Strongly Agree (7),3,6,5,2,4,3,4,3,5,3,5,5,4,4,6,27,Female,Heterosexual / Straight,Engaged,Catholic,3,